artist,stage,day,weekend,start_time,end_time,genre,headliner
Lady Gaga,Main Stage,Friday,1,10:00 PM,11:30 PM,Pop/Electronic,Yes
Green Day,Main Stage,Saturday,1,9:00 PM,10:30 PM,Rock/Punk,Yes
Post Malone,Main Stage,Sunday,1,10:00 PM,11:30 PM,Hip-Hop/Pop,Yes
Charli XCX,Sahara,Friday,1,8:30 PM,9:45 PM,Pop/Electronic,No
Travis Scott,Main Stage,Friday,1,7:30 PM,9:00 PM,Hip-Hop,No
Vampire Weekend,Outdoor Theatre,Saturday,1,7:00 PM,8:30 PM,Indie Rock,No
Tyla,Sahara,Saturday,1,6:00 PM,7:15 PM,Afrobeats/Pop,No
Clairo,Outdoor Theatre,Sunday,1,6:30 PM,7:45 PM,Indie Pop,No
Four Tet,Sahara,Friday,1,11:00 PM,12:30 AM,Electronic,No
Jungle,Outdoor Theatre,Saturday,1,5:00 PM,6:15 PM,Funk/Electronic,No
Remi Wolf,Gobi,Friday,1,4:30 PM,5:30 PM,Indie Pop,No
Amaarae,Mojave,Saturday,1,3:00 PM,4:00 PM,Afrobeats/R&B,No
Parcels,Gobi,Sunday,1,5:00 PM,6:00 PM,Funk/Disco,No
Wet Leg,Mojave,Friday,1,5:30 PM,6:30 PM,Indie Rock,No
Chromeo,Sahara,Saturday,1,4:00 PM,5:15 PM,Funk/Electronic,No
Megan Thee Stallion,Main Stage,Saturday,1,5:30 PM,6:45 PM,Hip-Hop,No
Lana Del Rey,Outdoor Theatre,Friday,1,8:30 PM,9:45 PM,Indie Pop/Dream Pop,No
Justice,Sahara,Sunday,1,9:30 PM,10:45 PM,Electronic,No
Disclosure,Sahara,Sunday,1,7:30 PM,8:45 PM,Electronic/Dance,No
NoName,Gobi,Saturday,1,2:00 PM,3:00 PM,Hip-Hop,No
Orville Peck,Outdoor Theatre,Sunday,1,4:30 PM,5:45 PM,Country/Indie,No
caroline polachek,Outdoor Theatre,Saturday,1,8:30 PM,9:45 PM,Indie Pop,No
RAYE,Mojave,Sunday,1,6:00 PM,7:15 PM,Pop/R&B,No
KAS:ST,Yuma,Friday,1,11:00 PM,1:00 AM,Techno,No
DJ Koze,Yuma,Saturday,1,10:00 PM,12:00 AM,Electronic,No
